mass,metabolic_rate
0.013,54.03
0.0124,53.735
0.0131,49.66
0.0113,48.25
0.0118,44.77
0.0116,49.47
0.0114,51.53
0.0115,41.22
0.547,309.5
0.408,198.8
0.522,211.7
0.428,262.2
0.52,362.5
131.3,50369
84.4,51774
109.4,51609
106.7,50796
123.85,54038
105.5,47034
119.8,57032
109.3,54300
109.4,47544
118.9,56193
154.8,62192
93.6,52970
4.675,3317.8
3.05,1874.9
3.55,1805.8
3.55,2738.9
31.925,6868.2
35.85,3376.2
39.5,3003.3
30.475,13218
41.125,14248
41.44,15933
39.275,16118
1.08,1018.4
1.104,772.14
1.0785,646.02
29.6,23196
45.975,22960
33.175,18717
24.225,20993
32.3,27684
40.275,19069
40.4,28448
39.775,28489
29.125,19880
35.15,34955
36.325,35120
32.1,22798
30.6,23028
29.837,26338
40,41880
29.475,16859
26.275,17787
33.3,30152
27.55,20066
23.825,16468
29.425,26288
5.21,1817.8
4.95,1976.5
4.17,1447.8
3.9,1357.6
3.97,1345.8
4.46,1439.7
0.787,1502
0.91,2246
0.77,1530
0.622,1213
0.549,948
3.8875,4222.3
4.725,8079.9
4.075,3814.2
3.8,5911.1
3.95,1694.3
3.5625,3341.7
4.2375,3820.3
3.725,3357.8
4.25,4259.3
4.2375,5668.6
4.4,6463.6
4.55,4496.4
0.06315,103.83
0.06047,120.33
6.875,5433
6.985,3979
8.95,7171
7.95,2899
8.45,4208
0.682,444.7
0.8775,466.6
0.94025,595.75
0.6595,218.9
0.8315,852.7
0.7605,423.9
0.7335,270.9
0.7385,822
0.7445,459.7
0.513,401.3
0.47,241.8
0.01008,26.6
0.01014,22.2
0.00982,25.5
0.01065,21.1
0.00889,18.3
0.00854,17.1
0.00951,19.7
0.00905,33.2
0.00934,28.3
0.01139,35.3
0.01028,27.5
0.01061,35.5
0.00981,29.9
0.00798,28
0.01011,38.4
0.00934,34
0.00845,35.4
4.42,2183
4.11,1776
4.23,2732
4.415,2712
4,2896
3.875,2834
4.65,2356
4,2816
3.95,2300
4.62,2690
4.32,1870
4.625,2721
3.22,1929
3.115,2392
3.185,1845
3.8,2773
7.1,1284.4
6.3,1153.7
9.2,1791.9
9.1,1916.5
8.15,1519.9
7.1,1815.1
6.4,1542.4
6.6,779.46
0.06145,193
0.0591,182
0.06585,206
0.0623,193
0.0665,234
0.062,164
0.0598,199
0.0599,170
0.0575,217
0.0645,202
0.0626,206
0.058667,197.33
0.0608,320
0.0601,322
0.0617,180
0.0666,224
0.0616,295
0.0625,170
0.0633,220
0.0648,192
0.0658,162
0.0605,189
0.0628,177
0.0605,159
0.059,159
0.0612,157
0.0603,168
27.398,3383.2
30.002,3374.6
29.492,4483.6
22.491,3653.7
30.485,4117.1
23.119,6943.8
23.254,4096
23.059,4542.2
26.951,6808.9
24.042,4018.4
34.387,7415.3
33.813,4067.4
35.181,1841.7
38.573,8752.6
28.424,4918.3
33.227,10989
25.795,9017
33.747,7073.2
33.981,6464.4
0.019,97.23
0.02,58.19
0.021,71.65
0.018,86.69
0.908,474.88
1.0425,554.38
0.8475,466.4
1.0775,519.4
1.0625,620.1
1.1,598.9
1.115,506.68
1.02,513.04
0.875,2950
0.788,1195.5
0.635,727.7
0.855,843.3
0.86,525.8
1.005,605.7
0.635,1956.1
0.765,2308.7
0.78,2135.6
0.79,1945.6
0.635,1490.5
0.668,1361.3
0.64,1086.5
0.645,1091
0.329,565.67
0.393,631.57
0.44,733.71
0.364,761.08
0.3935,750.05
0.34467,986.47
0.3645,745.06
0.33,963.71
0.34,790.21
0.383,761.1
0.371,794.85
0.417,754.52
0.322,684.39
0.3555,829.89
0.351,1000.8
0.367,995.66
0.35233,989.03
0.357,827.96
0.33,1089.2
0.393,831.9
0.402,1201.8
0.341,1022.3
0.37,882.32
0.397,785.49
0.3395,876.08
0.434,813.7
0.346,687.57
0.363,737.04
0.331,637.74
0.433,1436.6
0.34233,687.11
0.40567,885.63
0.363,746.44
0.376,961.6
0.331,918.01
0.353,1207.8
0.374,798.15
0.389,655.39
0.365,945
0.43375,952.5
0.3875,582
0.4,667
0.3825,862
0.4,895.5
0.45,1333.5
0.38375,596.5
0.365,1098
0.3525,801.5
0.3875,932
0.36,1233.5
0.37375,959
0.365,436.5
0.3425,399
0.40375,1031.5
0.4025,771
0.167,681.5
0.1885,674.5
0.1505,625.6
0.1605,882.6
0.1573,673.8
0.1645,610
0.1735,732.9
0.1543,677.3
0.16317,724.77
0.165,658.05
1,670
0.0187,74.05
0.0189,73.51
0.0186,60.61
0.016,88.38
0.016,80.02
0.017,76.99
0.016,84.52
0.685,522
1.35,1220
0.79,654
1.03,700
1.09,730
1.1,850
1.35,910
0.698,758
0.748,982
1.06,854
0.136,80.059
0.1565,114.34
0.144,99.149
0.144,87.039
0.148,91.013
0.132,73.542
62.8,13210
64.5,16760
55.8,17960
1.82,580.58
3.2,1088
3.49,973.71
2.92,829.28
1.97,494.47
4.45,222.5
3.98,210.94
3.48,643.8
4.37,659.87
0.0818,139.06
0.0603,94.671
0.093,84.816
0.0865,92.209
0.0838,121.09
0.0974,172.98
0.0822,171.06
0.081,144.75
0.1023,195.29
0.0791,160.1
0.0755,144.73
0.076,150.25
104.5,28090
108.5,24580
108.25,23360
107,24490
109.25,25600
0.2022,470
0.1691,383
0.1605,326
0.1772,481
0.17,399
0.1769,388
0.1777,507
0.1545,337
0.1778,426
0.16596,245.76
0.19953,378.89
0.18621,385.05
0.18197,412.59
0.20893,420.26
0.19953,465.07
0.20893,472.62
0.20893,400.42
0.17783,258.53
0.18197,259.72
0.17378,273.85
0.17378,305.85
0.19055,349.55
0.18621,364.35
0.18621,378.02
0.19953,378.02
2.275,2307
2.403,1927
2.165,2052
1.835,2244
1.93,1941
0.14,281
0.13,419
0.116,372
0.144,383
0.148,372
0.139,313
0.12,339
0.125,365
0.117,294
0.122,418
15.85,15749
11.65,2415.7
13.4,11925
14,12580
12.55,11602
15.7,12208
13.7,11127
14.35,11778
12,7257.6
13.05,9922.2
14.45,5992.7
11.3,2733.7
0.405,486.7
0.466,398.8
0.385,296.3
0.362,436
0.492,413.5
0.428,247.7
0.446,291.8
0.41,278.7
0.467,322.6
0.462,424.4
0.453,341.3
0.546,592.9
0.687,511.8
0.47,363.8
0.411,356.5
0.4,323.8
0.366,234.7
0.4,334.9
0.679,655
0.55,455.5
0.465,346.7
0.485,583.9
0.62,556.4
0.679,795.4
0.654,528.2
0.588,507.6
0.585,491.7
0.49,354.7
0.56,409.5
0.0755,109.5
0.0825,175
0.077,157.2
0.072,146.6
0.0705,138.4
0.0815,133.3
0.0693,113.2
0.08765,177.45
0.0713,125.45
0.07875,109.15
0.0758,118.2
0.0808,253.9
0.0745,79.7
0.0703,162.2
0.0749,91.3
0.0913,126.8
0.078,118.7
0.0688,102.85
0.07255,102.8
0.41,801.79
0.375,770.72
0.4,1006.4
0.385,884.78
0.39,945.66
0.33,961.85
0.355,468.72
0.385,875.97
0.0273,93.6
0.023,95.2
0.0244,88.2
0.022,87.1
0.023,73.5
0.025,96.9
0.0247,68.4
0.0218,73.2
0.0213,70
0.0226,88
0.0241,106.7
0.0278,96.8
0.0256,83.3
0.0261,93.4
0.024,87
0.0261,104.8
0.0235,93.7
0.0232,87.9
0.0267,73
0.0149,45.38
0.0145,67.85
0.0157,82.53
0.0159,72.37
0.0143,68.37
0.0145,71.58
0.0139,62.78
0.0149,69.3
0.0149,46.72
0.0142,63
0.0137,51.28
0.0142,60.49
0.0147,58.97
0.0136,64.78
0.0133,52.46
0.0139,65.38
0.0142,57.49
0.0141,71.89
0.0148,73.13
0.0137,52.57
0.0133,55.29
0.0151,55.74
0.0152,73.2
0.0159,58.1
0.0113,47.47
0.0114,40.59
0.0113,33.65
0.0107,36.1
0.0115,47.95
0.0105,38.74
0.0111,41.59
0.0108,38.71
0.0108,62.22
0.0094,38.57
0.0091,46.31
0.0087,43.68
0.0099,49.48
0.0091,44.04
0.0116,46.36
0.0101,42.82
0.012,45.98
0.012,31.85
0.0111,39.31
0.0107,40.92
0.0117,39.35
0.0108,40.85
0.0118,43.57
0.0149,70.5
0.0159,79.5
0.0156,87
0.0162,104.1
0.0165,72.8
0.0174,70.5
0.0163,80.6
0.016,72.7
0.0142,75.4
0.0156,73.2
0.0155,75.9
0.017,80.6
0.0131,84.3
0.0124,72.3
0.0122,74.6
0.0126,64.6
0.0129,65.1
0.0134,78.2
0.0125,67.9
0.0123,73.1
0.0126,81.6
0.0126,78.9
0.0123,83.2
0.012,64
0.0133,72.7
0.0119,69.2
0.0123,70
0.0125,68.2
0.012,70
0.0128,62.4
0.0126,71.6
0.0143,63.6
0.0135,81.7
0.0132,75
0.0124,67.1
0.012,69.3
0.0126,65
0.013,60.3
0.0127,72
0.013,69.4
0.0123,72.8
0.013,84.5
0.0121,62.8
0.0124,72.1
0.0116,59.8
0.0138,77.9
0.0118,55.9
0.0126,72.3
0.09725,284.4
0.118,393.5
0.11,329.15
0.16,245.5
0.1275,257.2
2.205,610
10.4,1804.7
10.1,2045
11.667,2219.3
7.0667,1799.5
8.5667,1789.9
7.8333,2551.6
6.25,2531.2
6.7,1922.9
3.2,1110.4
9.43,3291.1
5.8,2401.2
7.4,2449.4
3.9933,586.07
4.2167,489.05
3.6667,592.88
4.4,721.6
4.55,773.5
3.81,1310
4.04,6160
4,4400
3.65,2680
4.08,2880
3.38,3420
4.42,3800
4.25,3970
3.66,4120
3.9,4430
3.94,5250
0.11,187
0.098,144
0.104,171
0.121,139
0.116,151
0.163,208
0.114,156
0.162,202
0.121,169
0.108,147
0.106,184
0.138,196
0.098,137
0.13,212
0.126,125
2.9,1867.5
2.58,1567.2
3.65,2262.3
2.75,1723.2
3.56,2325.6
3.05,1794.1
3.43,1945.5
3.19,2208.3
3.12,1717.5
3.46,2020.3
0.0164,88.3
0.018,74.1
0.0148,71.8
0.0168,64.7
0.0164,74.45
0.0187,80.7
0.0165,58.9
0.0163,33.6
0.0158,56.1
5.29,1390
5.73,1270
3.405,994
3.25,934.5
6.35,1530
1.5,451
1.46,435.5
2.83,445
1.61,629
2.225,718.5
27,5610
60.8,10730
67.1,41500
32.2,15900
38.35,21300
43.1,37100
48.9,23650
9.645,2550
4.635,1122
3.43,1080
3.16,1060
6.36,1765
0.775,655
1.1375,516
1.46,594.5
1.11,569.67
1.825,1080
0.835,381
1.3625,924
1.3,478
0.01775,31.2
0.0149,41.4
0.0127,51.6
0.010625,22.6
0.0095,38.6
0.0105,30.4
0.005275,25.75
0.00645,35.4
0.01005,34.25
0.00805,46.6
0.0099,51.8
0.00735,41.2
0.0179,85.974
0.0159,102.86
0.0171,85.09
0.0177,124.48
0.0194,96.981
0.0213,106.93
0.0181,94.084
0.0179,83.11
0.0178,83.571
3.525,4555
4.6,5690
3.4625,4535
4.65,3970
3.5375,4020
3.475,3490
3.8625,3700
4.4,3810
0.041,130
0.0385,157
0.0495,186
0.046,176
0.041,148
0.044,59
0.046,95
0.0405,131
0.0435,181
0.039875,97.5
0.0455,207
0.0395,136
0.04,90
0.044,182
0.0415,184
0.00769,49.58
0.00739,58.38
0.0082,45.73
0.00815,46.51
0.00935,69.44
0.00915,62.43
0.00748,43.36
0.00785,54.52
0.00858,61.71
0.00845,57.73
0.0079,52.3
0.00905,51.11
0.0076,47.75
0.0079,55.12
0.062,191.03
0.052,221.12
0.051,190.19
0.105,339.12
0.113,315.23
0.10275,315.62
0.104,397.27
0.10475,340.11
0.1215,499.82
0.111,363.05
0.1005,337.56
0.1105,342.7
0.107,350.1
0.1028,361.9
0.107,311.4
0.1025,332.1
0.0585,194
0.057,214.5
0.057,263.4
0.0623,244.9
0.0518,192.4
0.0513,184.1
0.0508,165.3
0.054,149.7
0.0503,226.4
0.0535,175
0.0558,256.4
0.137,373.2
0.1425,344.6
0.1416,429.9
0.1595,381.6
0.1295,345.1
0.142,366.5
0.039,189.6
0.079,307.7
0.0302,181.8
0.029,203.2
0.0288,169.4
0.0525,215.9
0.063,236.2
0.0545,204.3
0.3785,686.9
0.2935,583
116.6,8579.5
53.2,6562.6
55,6802.9
25.5,5245.9
0.0033,28.3
0.00375,26.6
0.0041,37.9
0.00353,23.4
0.00355,45.2
0.00845,78.8
0.00883,92.6
0.00958,87.8
0.00823,67.5
0.00544,28.243
0.00382,16.018
0.0049,20.547
0.00395,14
0.00455,24.758
0.00444,34.798
0.00445,43.985
0.00432,32.779
0.107,157
0.112,119
0.132,162
0.105,127
0.127,140
0.118,152
0.115,176
0.107,125
0.12,187
0.12,131
0.111,173
0.102,188
0.092,117
0.108,171
0.119,169
0.093,177
0.138,154
0.117,173
0.148,176
0.144,120
0.141,173
0.125,127
0.118,159
0.119,134
0.124,148
0.11,142
0.123,193
0.13,177
0.114,245
0.111,149
0.119,188
0.121,126
0.127,166
0.127,161
0.123,107
0.146,183
0.02115,38.966
0.0186,28.611
0.0166,38.372
0.0988,136.7
0.1006,164.84
0.0894,128.55
44.5,14570
41,14780
56,15260
50.5,11600
0.01465,93.71
0.01735,83.59
0.01835,108.37
0.019,96.92
0.0178,105.66
0.0181,137.42
0.0178,79.24
0.01775,97.21
0.0174,108.15
0.01825,121.84
0.047,97.33
0.086,88.83
0.098,150.67
0.0665,111.94
0.057,102.21
0.0975,50.49
0.0845,75.02
0.072,81.45
0.067,111.03
0.0725,139.49
0.079,128.25
0.075,106.02
0.0485,134.46
0.0638,207.35
0.063,210.11
0.0543,97.08
0.067,60.02
0.06,138.37
0.056,94.34
0.055,28.46
0.057,103.81
0.061,166.5
0.059,85.37
0.0435,86.78
0.0555,149.4
0.063,103.03
0.0385,86.5
0.07,129.13
0.054,120.37
0.063,118.94
0.0635,100.35
0.0468,49.63
0.0485,59.79
0.051,63.46
0.0505,71.81
0.0495,62.1
0.0525,71.87
0.075,68.7
0.0428,79.06
0.063,56.35
0.05,76.42
0.052,69.31
0.0605,41.67
0.064,64.88
0.071,94.61
0.0648,74.26
0.0605,98.45
0.051,53.92
0.0515,47.9
0.0655,53.45
3.78,766
2.69,645
2.965,720
2.925,762
3.743,764
2.695,850
2.715,581
0.0194,9.52
0.0232,14.45
0.0261,9.19
0.0158,8.21
0.0225,15.71
0.0214,15.3
0.0187,11.49
0.0212,12.08
0.0236,12.22
0.0179,9.84
0.0177,19.13
8.25,1342
10.975,1666
8.725,1689
10.55,1576
9.75,1686
9.35,1900
9.075,1575
12,2235
9.075,1405
8.675,1212
1.3,777
1.7,1010
1.26,1060
1.32,1180
1.34,1170
1.53,1190
1.08,841
1.23,791
1.29,915
1.28,959
1.23,1070
1.31,914
1.4,964
1.31,1000
1.32,897
1.35,818
1.42,1100
1.43,1110
1.44,1010
1.54,948
1.688,611
1.582,582
2.172,700
1.966,622
2.038,528
1.806,540
1.806,477
1.11,434
1.582,606
1.762,695
1.674,553
2.166,791
1.77,460
2.088,592
2.206,859
2.122,680
2.41,440
2.438,635
2.504,497
2.38,736
2.038,532
2.646,771
0.02365,71.1
0.0246,72.9
0.02535,60.5
0.0231,81.9
0.0244,64.2
0.0233,109.5
0.0249,119.1
0.02455,124.3
0.02685,110.6
0.02505,92.1
0.022925,109.25
0.02375,93.9
0.025375,100.15
0.023025,97.2
0.02745,108.5
0.024125,86.4
0.0233,93
0.0243,103.1
0.161,369.91
0.151,385.06
0.152,454.29
0.168,499.46
0.129,337.1
0.145,370.21
0.143,393.54
0.139,318.48
0.354,206.4
0.354,311.9
0.327,342.5
0.369,442.7
0.322,265.7
0.366,312.6
0.486,400.4
0.0491,93.98
0.05245,50.32
0.0487,76.09
0.0517,58.88
0.0471,51.95
0.0527,68.85
0.0488,26.26
0.05225,26.86
0.05005,31.73
0.0521,68.23
0.45,982
0.403,1515
0.397,806
0.435,1733
0.38,451
0.402,420
0.349,398
0.368,774
0.386,486.5
0.407,925
0.451,925
0.403,1339
0.436,1054
0.438,1363
0.395,1177
0.383,1072
0.388,782
0.455,457
0.264,460
0.242,427
0.236,438
0.225,434
0.221,384
0.192,366
0.145,259
0.142,239
0.121,213
0.0747,169
0.425,494
0.0802,123
0.0717,107
0.0647,140
0.0608,130
0.0383,42.4
0.0398,45
0.0364,52.9
0.117,226
0.118,231
0.405,613
0.399,463
0.394,521
0.39,586
0.337,388
0.325,472
0.319,569
0.0529,185.4
0.0443,260.1
0.0515,162.3
0.051,258.1
0.0543,221.6
0.0563,230.9
0.0548,223.7
0.0464,227.6
0.0547,264.4
0.0495,279.9
0.0521,241.4
0.0592,203.3
0.0527,260.6
0.0515,199.7
0.0526,182.2
0.0508,220.3
0.0475,272.3
0.0425,222.3
0.0468,251.1
0.0284,144.3
0.0247,164.2
0.0279,145.2
0.032,159
0.0277,145.2
0.0283,154.7
0.027,159
0.0299,134.8
0.0292,156.4
0.0264,165
0.0271,129.6
0.0281,129.6
0.0318,159
0.031,141.7
0.0277,127.9
0.0309,129.6
0.0278,171.1
0.0233,192.2
0.0247,227.2
0.0265,170.8
0.0246,151.6
0.0248,134.2
0.0241,152.8
0.0246,140.5
0.0251,142.1
0.0257,169.9
0.0244,201.6
0.0248,142.8
0.0239,140.2
0.0247,121.5
0.0473,187.26
0.04875,125.42
0.0481,162.23
0.05175,147.55
0.0965,207.08
0.098,431.64
0.0995,568.45
0.111,275.05
0.0945,275.06
0.097,232.31
0.105,384.67
0.1075,302.7
0.009,43.7
0.0087,46.4
0.0079,39.5
0.009,43.1
0.0094,58.1
0.008,40.6
0.0085,41
0.0099,53.9
0.0082,52.5
0.0082,38.4
0.0211,55.6
0.0182,40.3
0.0194,51.8
0.0187,53.8
0.0184,40
0.0154,37.6
0.0184,47.5
0.0184,51.3
0.0189,59.3
0.0189,71.2
0.0162,46.4
0.0169,45.3
0.0114,55.594
0.011525,49.742
0.01125,49.324
0.0115,56.43
0.011775,53.086
0.011425,50.16
2.7,1541.7
2.89,1638.4
2.9,2044.5
3.1,1478.7
2.94,1544.4
2.84,1455.4
2.94,1170.6
2.725,1111.3
3.115,1388.2
0.0242,77.8
0.0232,88.7
0.0216,75.7
0.0228,88.7
0.0071,80.018
0.0069,64.057
0.0071,47.374
0.0064,68.809
0.007,48.151
0.0064,42.062
0.0067,33.924
0.0064,67.451
0.0065,56.666
0.0237,81.4
0.0083,36.4
0.0082,32
0.00718,57.92
0.00513,37.29
0.00498,32
0.00458,43.12
0.0047,36.43
0.00473,34.66
0.0051,27.47
0.00518,49.77
0.00498,40.38
0.00483,40.08
0.0867,208
0.0845,178
0.0794,151
0.0784,242
0.0091,47.8
0.0107,43.4
0.008,54.6
0.0107,59.4
0.01,59.7
0.0102,52.4
0.01705,73.3
0.0174,69.4
0.01545,73.1
0.0181,82.5
0.0162,60.9
0.0161,45.1
0.0171,65.3
0.0166,80.7
0.0208,117.4
0.0146,75.9
0.553,328
0.503,212
0.528,289
0.615,179
0.664,147
0.616,237
0.0205,120.59
0.019,78.8
0.0186,65.5
0.0199,84.5
0.0191,72.3
0.0192,117.9
0.0176,77
0.02,87.3
0.0177,88.4
0.0165,57.6
0.0173,89.3
0.0192,74.3
0.0202,77.6
0.0174,63.1
0.0171,75.7
0.0204,99.6
0.0187,94.9
0.0206,96.2
0.0201,82.7
0.0218,102.8
0.0193,75.1
0.02,110.2
0.0212,118.1
0.0187,128.5
0.019,145.4
0.0181,139.9
0.0201,149.9
0.0204,139.2
0.0166,115.7
0.0215,168.9
0.0197,119.5
0.0171,112.7
0.019,134.6
0.0225,136
0.0181,134.8
0.019,116.9
0.0088,88.4
0.0092,59.9
0.0091,67.9
0.0099,72
0.0095,57.5
0.0101,69.5
0.0097,64.9
0.0095,61
0.01,60.6
0.0096,60.2
0.0238,42.7
0.027,59.9
0.0242,50.9
0.0272,47.3
0.0251,39.8
0.0265,62.9
0.025,33.5
0.0248,52.3
0.0192,82.8
0.0187,70.3
0.0191,72.7
0.0187,76.4
0.0187,71.2
0.0187,75.1
0.0186,75.3
0.0205,74.7
0.0174,69.2
0.0186,76.8
0.0198,89.8
0.018,65.1
0.0189,71.1
0.0202,77.2
0.0196,69.7
0.0168,62.9
0.01926,99.5
0.01815,60.4
0.0181,69.5
0.01955,81.4
0.01975,70.4
0.0196,100.4
0.01638,69.1
0.01648,60
0.01785,71.1
0.01742,79.8
0.01755,74.1
0.0167,67.7
0.01775,58.4
0.01511,75.1
0.017,59.6
0.01748,61.9
0.166,247
0.134,140
0.133,180
0.289,509
0.295,292
0.35,302
0.0274,56.8
0.0265,47.2
0.0275,64.7
0.0302,67.6
0.0628,106.1
51,16468
52.5,16310
50,14756
49.5,14177
86.25,18718
90.25,17362
0.0873,56
0.075,55.6
0.0751,80.5
0.1043,98.7
0.096,61.6
0.074,47.8
0.0918,73.3
0.0725,74.3
0.087,62.2
0.0993,70.5
0.0835,48.7
0.0984,81.2
0.0885,71.2
0.0785,69.7
0.087,67.2
0.086,86.3
0.0926,144.1
7.6783,3068.8
7.8175,2287.7
9.4537,2606
8.1554,2358.3
8.045,1550.7
7.275,1894.3
87.4,9219
90,23331
103.4,18522
67.5,8295
105.4,19614
81.5,10290
59.9,16044
82.2,26166
83.2,9408
91.5,23016
73.1,16527
1.465,888.7
1.7,1126.6
1.645,575.4
1.638,704.4
2.079,1352.9
1.975,1439.9
4.12,2396
4.38,2388
