,up,down,left,right
"(2,,)",-4.88741000932,-4.82407813956,-203.887410009,-203.887410009
"(2,,)",-203.909928007,-203.859262512,-4.85926251164,-203.887410009
"(3,,)",-203.992262875,-203.99504824,-203.9938103,-4.99226287475
"(3,,)",-4.99032859344,-4.9938102998,-203.9938103,-203.9938103
"(3,,)",-203.987910742,-203.99504824,-4.99226287475,-4.99226287475
"(3,,)",-203.984888427,-203.9938103,-203.9938103,-4.99032859344
"(3,,)",-203.981110534,-203.992262875,-4.99226287475,-4.9879107418
"(3,,)",-203.976388168,-203.990328593,-4.99032859344,-4.98488842725
"(3,,)",-203.970485209,-203.981110534,-4.9879107418,-4.98111053407
"(3,,)",-203.963106512,-4.97638816759,-4.98488842725,-203.963106512
"(3,,)",-203.95388314,-4.97048520948,-4.98111053407,-4.95388313982
"(3,,)",-4.94235392477,-4.96310651185,-203.963106512,-203.859262512
"(3,,)",-203.887410009,-203.82407814,-4.95388313982,-4.82407813956
"(3,,)",-4.85926251164,-4.78009767444,-203.859262512,-203.859262512
"(3,,)",-203.887410009,-203.82407814,-4.82407813956,-203.859262512
"(4,,)",-203.9938103,-203.996038592,-203.99504824,-4.9938102998
"(4,,)",-4.99226287475,-4.99504823984,-203.99504824,-203.99504824
"(4,,)",-203.9938103,-4.99603859187,-4.9938102998,-203.9938103
"(4,,)",-4.99226287475,-4.9968308735,-203.99504824,-203.992262875
"(4,,)",-4.99032859344,-4.9974646988,-203.9938103,-203.990328593
"(4,,)",-4.9879107418,-4.99797175904,-203.992262875,-203.981110534
"(4,,)",-4.98488842725,-203.984888427,-203.990328593,-4.97638816759
"(4,,)",-4.98111053407,-4.98111053407,-203.981110534,-4.97048520948
"(4,,)",-203.963106512,-4.97638816759,-4.97638816759,-4.96310651185
"(4,,)",-4.95388313982,-4.97048520948,-4.97048520948,-203.82407814
"(4,,)",-203.859262512,-203.780097674,-4.96310651185,-4.78009767444
"(4,,)",-4.82407813956,-4.72512209306,-203.82407814,-203.82407814
"(4,,)",-203.859262512,-203.780097674,-4.78009767444,-203.82407814
"(5,,)",-203.99504824,-203.996830873,-203.996038592,-4.99504823984
"(5,,)",-4.9938102998,-4.99603859187,-203.996038592,-4.99603859187
"(5,,)",-203.99504824,-203.996830873,-4.99504823984,-4.9968308735
"(5,,)",-203.9938103,-203.997464699,-4.99603859187,-4.9974646988
"(5,,)",-203.992262875,-203.997971759,-4.9968308735,-4.99797175904
"(5,,)",-203.990328593,-4.99837740723,-4.9974646988,-203.984888427
"(5,,)",-203.981110534,-203.998701926,-4.99797175904,-4.98111053407
"(5,,)",-4.97638816759,-203.1611392,-203.984888427,-4.97638816759
"(5,,)",-4.97048520948,-203.32891136,-4.98111053407,-4.97048520948
"(5,,)",-4.96310651185,-203.463129088,-4.97638816759,-203.780097674
"(5,,)",-203.82407814,-203.57050327,-4.97048520948,-4.72512209306
"(5,,)",-4.78009767444,-4.65640261632,-203.780097674,-203.780097674
"(5,,)",-203.82407814,-203.725122093,-4.72512209306,-203.780097674
"(6,,)",-203.996038592,-203.997464699,-203.996830873,-4.99603859187
"(6,,)",-4.99504823984,-4.9968308735,-203.996830873,-203.996830873
"(6,,)",-4.99603859187,-4.9974646988,-4.99603859187,-203.997464699
"(6,,)",-4.9968308735,-4.99797175904,-203.996830873,-203.997971759
"(6,,)",-4.9974646988,-203.998377407,-203.997464699,-4.99837740723
"(6,,)",-4.99797175904,-4.99870192579,-203.997971759,-203.998701926
"(6,,)",-203.984888427,-203.1611392,-4.99837740723,-203.1611392
"(6,,)",-4.98111053407,-3.951424,-203.998701926,-203.32891136
"(6,,)",-4.97638816759,-4.1611392,-203.1611392,-203.463129088
"(6,,)",-4.97048520948,-4.32891136,-203.32891136,-203.57050327
"(6,,)",-203.780097674,-4.463129088,-203.463129088,-4.65640261632
"(6,,)",-4.72512209306,-4.5705032704,-203.57050327,-203.725122093
"(6,,)",-203.780097674,-203.656402616,-4.65640261632,-203.725122093
"(7,,)",-203.996830873,-203.999468309,-203.997464699,-4.9968308735
"(7,,)",-4.99603859187,-203.997464699,-203.997464699,-4.9974646988
"(7,,)",-203.996830873,-203.997971759,-4.9968308735,-4.99797175904
"(7,,)",-203.997464699,-4.99837740723,-4.9974646988,-203.998377407
"(7,,)",-203.997971759,-203.998701926,-4.99797175904,-4.99870192579
"(7,,)",-4.99837740723,-203.1611392,-203.998377407,-203.1611392
"(7,,)",-203.998701926,-202.951424,-4.99870192579,-3.951424
"(7,,)",-203.1611392,-3.68928,-203.1611392,-4.1611392
"(7,,)",-203.32891136,-202.3616,-3.951424,-4.32891136
"(7,,)",-203.463129088,-201.952,-4.1611392,-4.463129088
"(7,,)",-203.57050327,-201.44,-4.32891136,-4.5705032704
"(7,,)",-4.65640261632,-200.8,-4.463129088,-203.656402616
"(7,,)",-203.725122093,-200.0,-4.5705032704,-203.656402616
"(8,,)",-203.997464699,-4.999335386,-203.999468309,-203.997464699
"(8,,)",-4.9968308735,-4.9991692325,-203.999468309,-203.997971759
"(8,,)",-4.9974646988,-4.99896154063,-203.997464699,-4.99837740723
"(8,,)",-4.99797175904,-4.99870192579,-203.997971759,-203.998701926
"(8,,)",-203.998377407,-203.1611392,-4.99837740723,-203.1611392
"(8,,)",-4.99870192579,-3.951424,-203.998701926,-202.951424
"(8,,)",-203.1611392,-3.68928,-203.1611392,-3.68928
"(8,,)",-3.951424,-3.3616,-202.951424,-202.3616
"(8,,)",-4.1611392,-2.952,-3.68928,-201.952
"(8,,)",-4.32891136,-2.44,-202.3616,-201.44
"(8,,)",-4.463129088,-1.8,-201.952,-200.8
"(8,,)",-4.5705032704,-1.0,-201.44,-200.0
"(8,,)",-203.656402616,0.0,-200.8,-200.0
"(9,,)",-203.999468309,-203.999468309,-4.999335386,-4.9991692325
"(9,,)",-203.997464699,-203.999335386,-4.999335386,-4.99896154063
"(9,,)",-203.997971759,-203.999169233,-4.9991692325,-4.99870192579
"(9,,)",-4.99837740723,-203.998961541,-4.99896154063,-203.1611392
"(9,,)",-203.998701926,-362.52891136,-4.99870192579,-3.951424
"(9,,)",-203.1611392,-203.1611392,-203.1611392,-3.68928
"(9,,)",-202.951424,-202.951424,-3.951424,-3.3616
"(9,,)",-3.68928,-202.68928,-3.68928,-2.952
"(9,,)",-202.3616,-202.3616,-3.3616,-2.44
"(9,,)",-201.952,-201.952,-2.952,-1.8
"(9,,)",-201.44,-201.44,-2.44,-1.0
"(9,,)",-200.8,-200.8,-1.8,0.0
"(9,,)",0.0,0.0,0.0,0.0
"(1,0)",-4.999335386,-203.999468309,-203.999468309,-203.999335386
"(1,0)",-4.9991692325,-203.999335386,-203.999468309,-203.999169233
"(1,0)",-4.99896154063,-203.999169233,-203.999335386,-203.998961541
"(1,0)",-4.99870192579,-203.998961541,-203.999169233,-362.52891136
"(1,0)",-203.1611392,-362.52891136,-203.998961541,-203.1611392
"(1,0)",-3.951424,-203.1611392,-362.52891136,-202.951424
"(1,0)",-3.68928,-202.951424,-203.1611392,-202.68928
"(1,0)",-3.3616,-202.68928,-202.951424,-202.3616
"(1,0)",-2.952,-202.3616,-202.68928,-201.952
"(1,0)",-2.44,-201.952,-202.3616,-201.44
"(1,0)",-1.8,-201.44,-201.952,-200.8
"(1,0)",-1.0,-200.8,-201.44,-200.0
"(1,0)",0.0,-200.0,-200.8,-200.0
