,up,down,left,right
"(1,1)",-200.8,-2.952,-2.952,-1.8
"(1,1)",-1.0,-2.44,-2.44,-200.0
"(1,1)",0.0,0.0,0.0,0.0
"(2,0)",-4.65640261632,-4.85926251164,-200.0,-4.72512209306
"(2,1)",-4.96310651185,-4.95388313982,-203.463129088,-4.95388313982
"(2,2)",-4.95388313982,-4.94235392477,-4.95388313982,-203.942353925
"(2,3)",-4.97048520948,-4.92794240596,-4.95388313982,-203.927942406
"(2,4)",-200.0,-4.90992800745,-202.3616,-200.0
"(2,5)",-4.90992800745,-4.88741000932,-200.0,-4.82407813956
"(2,6)",-203.859262512,-4.85926251164,-203.859262512,-4.78009767444
"(2,7)",-4.82407813956,-4.82407813956,-4.82407813956,-4.72512209306
"(2,8)",-4.78009767444,-203.780097674,-4.78009767444,-4.65640261632
"(2,9)",-4.72512209306,-203.725122093,-4.72512209306,-4.5705032704
"(2,1)",-4.65640261632,-4.65640261632,-4.65640261632,-4.463129088
"(2,1)",-4.5705032704,-4.5705032704,-4.5705032704,-4.32891136
"(2,1)",-4.463129088,-203.463129088,-4.463129088,-4.1611392
"(2,1)",-4.32891136,-4.32891136,-4.32891136,-3.951424
"(2,1)",-4.1611392,-203.1611392,-4.1611392,-3.68928
"(2,1)",-202.3616,-202.951424,-3.951424,-3.3616
"(2,1)",-2.952,-3.68928,-3.68928,-2.952
"(2,1)",-2.44,-3.3616,-3.3616,-2.44
"(2,1)",-1.8,-200.8,-2.952,-2.952
"(2,1)",-200.0,-3.3616,-2.44,-2.952
"(3,0)",-200.0,-202.68928,-4.96310651185,-4.95388313982
"(3,1)",-4.95388313982,-4.95388313982,-4.95388313982,-4.94235392477
"(3,2)",-4.95388313982,-4.95388313982,-4.95388313982,-4.92794240596
"(3,3)",-203.942353925,-4.94235392477,-4.94235392477,-4.90992800745
"(3,4)",-203.927942406,-4.92794240596,-4.92794240596,-4.88741000932
"(3,5)",-203.859262512,-4.90992800745,-4.90992800745,-4.85926251164
"(3,6)",-4.82407813956,-4.88741000932,-4.88741000932,-4.82407813956
"(3,7)",-4.78009767444,-4.85926251164,-4.85926251164,-203.463129088
"(3,8)",-4.72512209306,-4.82407813956,-4.82407813956,-201.952
"(3,9)",-4.65640261632,-4.72512209306,-200.0,-4.65640261632
"(3,1)",-4.5705032704,-4.72512209306,-203.725122093,-4.5705032704
"(3,1)",-4.463129088,-4.65640261632,-4.65640261632,-203.32891136
"(3,1)",-4.32891136,-4.5705032704,-4.5705032704,-4.32891136
"(3,1)",-4.1611392,-4.463129088,-203.463129088,-202.951424
"(3,1)",-3.951424,-200.0,-4.32891136,-200.8
"(3,1)",-3.68928,-4.1611392,-200.0,-3.68928
"(3,1)",-3.3616,-3.951424,-202.951424,-3.3616
"(3,1)",-2.952,-201.44,-3.3616,-200.0
"(3,1)",-2.44,-3.951424,-1.8,-3.3616
"(3,1)",-2.952,-3.68928,-200.0,-2.952
"(4,0)",-4.5705032704,-4.97048520948,-200.0,-4.88741000932
"(4,1)",-4.95388313982,-4.96310651185,-203.656402616,-4.95388313982
"(4,2)",-4.94235392477,-4.94235392477,-4.94235392477,-4.94235392477
"(4,3)",-4.92794240596,-203.927942406,-4.94235392477,-4.92794240596
"(4,4)",-4.90992800745,-203.887410009,-4.90992800745,-4.90992800745
"(4,5)",-4.88741000932,-4.90992800745,-4.88741000932,-4.88741000932
"(4,6)",-4.85926251164,-4.85926251164,-4.85926251164,-4.85926251164
"(4,7)",-4.82407813956,-4.85926251164,-4.88741000932,-4.82407813956
"(4,8)",-202.68928,-4.82407813956,-4.85926251164,-4.78009767444
"(4,9)",-203.725122093,-4.82407813956,-4.82407813956,-4.72512209306
"(4,1)",-4.65640261632,-203.463129088,-4.65640261632,-4.65640261632
"(4,1)",-4.5705032704,-202.951424,-4.65640261632,-4.5705032704
"(4,1)",-203.463129088,-4.65640261632,-4.65640261632,-4.463129088
"(4,1)",-4.32891136,-4.5705032704,-4.5705032704,-203.1611392
"(4,1)",-200.0,-4.463129088,-4.463129088,-4.1611392
"(4,1)",-202.951424,-4.32891136,-200.8,-3.951424
"(4,1)",-3.68928,-3.68928,-4.1611392,-200.0
"(4,1)",-3.3616,-200.0,-3.951424,-2.952
"(4,1)",-200.0,-4.1611392,-200.8,-3.68928
"(4,1)",-3.3616,-3.3616,-3.68928,-3.68928
"(5,0)",-201.952,-4.97048520948,-4.97048520948,-4.97048520948
"(5,1)",-4.96310651185,-203.463129088,-4.96310651185,-4.96310651185
"(5,2)",-4.95388313982,-4.96310651185,-4.96310651185,-203.927942406
"(5,3)",-4.94235392477,-4.94235392477,-4.90992800745,-203.82407814
"(5,4)",-4.92794240596,-200.0,-200.0,-4.92794240596
"(5,5)",-4.90992800745,-201.44,-201.952,-4.90992800745
"(5,6)",-4.88741000932,-4.88741000932,-4.88741000932,-4.88741000932
"(5,7)",-4.85926251164,-4.85926251164,-4.88741000932,-4.85926251164
"(5,8)",-4.82407813956,-200.0,-4.85926251164,-4.82407813956
"(5,9)",-4.78009767444,-200.8,-4.78009767444,-200.0
"(5,1)",-4.65640261632,-200.0,-4.5705032704,-200.0
"(5,1)",-4.65640261632,-4.78009767444,-200.8,-4.65640261632
"(5,1)",-4.5705032704,-4.72512209306,-203.656402616,-4.5705032704
"(5,1)",-4.463129088,-202.3616,-4.65640261632,-4.463129088
"(5,1)",-201.44,-4.5705032704,-4.5705032704,-4.32891136
"(5,1)",-4.1611392,-4.1611392,-4.32891136,-4.1611392
"(5,1)",-3.951424,-3.951424,-4.32891136,-200.0
"(5,1)",-200.0,-200.0,-1.8,-1.8
"(5,1)",-3.951424,-4.32891136,-200.0,-3.951424
"(5,1)",-3.68928,-200.0,-4.1611392,-3.68928
"(6,0)",-4.97048520948,-4.97048520948,-4.97638816759,-203.57050327
"(6,1)",-4.88741000932,-4.94235392477,-4.95388313982,-4.95388313982
"(6,2)",-4.95388313982,-4.95388313982,-203.859262512,-4.95388313982
"(6,3)",-201.44,-4.95388313982,-4.95388313982,-202.68928
"(6,4)",-200.8,-4.90992800745,-4.5705032704,-200.8
"(6,5)",-4.92794240596,-4.94235392477,-200.8,-4.90992800745
"(6,6)",-4.90992800745,-4.90992800745,-203.927942406,-4.90992800745
"(6,7)",-4.88741000932,-203.57050327,-4.88741000932,-200.8
"(6,8)",-4.82407813956,-4.90992800745,-1.0,-200.0
"(6,9)",-4.82407813956,-4.85926251164,-200.0,-200.0
"(6,1)",-200.0,-4.72512209306,-200.0,-2.44
"(6,1)",-203.463129088,-4.78009767444,-200.0,-4.72512209306
"(6,1)",-4.65640261632,-4.78009767444,-4.78009767444,-202.951424
"(6,1)",-4.463129088,-3.951424,-4.463129088,-3.951424
"(6,1)",-4.463129088,-200.0,-200.0,-4.463129088
"(6,1)",-4.32891136,-4.463129088,-4.463129088,-4.32891136
"(6,1)",-4.1611392,-4.463129088,-4.463129088,-203.463129088
"(6,1)",-200.0,-4.463129088,-4.32891136,-4.32891136
"(6,1)",-4.1611392,-4.32891136,-203.1611392,-200.8
"(6,1)",-3.3616,-3.68928,-4.1611392,-200.0
"(7,0)",-4.97638816759,-203.95388314,-4.97048520948,-4.97048520948
"(7,1)",-203.887410009,-4.97048520948,-4.97638816759,-4.96310651185
"(7,2)",-4.96310651185,-203.859262512,-4.96310651185,-4.95388313982
"(7,3)",-4.96310651185,-4.95388313982,-4.96310651185,-4.96310651185
"(7,4)",-203.656402616,-4.95388313982,-4.95388313982,-4.95388313982
"(7,5)",-203.887410009,-4.95388313982,-4.95388313982,-4.94235392477
"(7,6)",-4.92794240596,-4.95388313982,-4.95388313982,-203.780097674
"(7,7)",-4.85926251164,-4.88741000932,-4.78009767444,-4.88741000932
"(7,8)",-200.0,-203.656402616,-203.780097674,-4.88741000932
"(7,9)",-202.951424,-4.88741000932,-4.88741000932,-4.85926251164
"(7,1)",-200.8,-4.85926251164,-4.88741000932,-4.82407813956
"(7,1)",-4.78009767444,-4.82407813956,-4.82407813956,-4.78009767444
"(7,1)",-4.72512209306,-4.78009767444,-4.78009767444,-4.82407813956
"(7,1)",-201.44,-4.82407813956,-4.78009767444,-200.0
"(7,1)",-3.3616,-200.0,-4.78009767444,-1.0
"(7,1)",-4.463129088,-4.463129088,-200.0,-4.463129088
"(7,1)",-4.32891136,-4.32891136,-4.32891136,-4.32891136
"(7,1)",-203.463129088,-4.463129088,-4.463129088,-4.463129088
"(7,1)",-4.32891136,-200.8,-4.463129088,-4.32891136
"(7,1)",-200.0,-4.5705032704,-4.463129088,-4.463129088
"(8,0)",-4.97638816759,-200.8,-200.0,-4.95388313982
"(8,1)",-4.96310651185,-4.96310651185,-203.927942406,-203.909928007
"(8,2)",-4.95388313982,-4.94235392477,-4.95388313982,-4.92794240596
"(8,3)",-4.95388313982,-203.859262512,-202.68928,-4.94235392477
"(8,4)",-4.96310651185,-4.95388313982,-4.95388313982,-4.95388313982
"(8,5)",-4.95388313982,-203.780097674,-4.96310651185,-4.94235392477
"(8,6)",-4.94235392477,-4.94235392477,-4.94235392477,-4.95388313982
"(8,7)",-202.68928,-4.95388313982,-4.94235392477,-200.8
"(8,8)",-4.85926251164,-203.725122093,-4.72512209306,-4.78009767444
"(8,9)",-4.88741000932,-4.88741000932,-203.656402616,-4.88741000932
"(8,1)",-4.85926251164,-4.85926251164,-4.88741000932,-4.85926251164
"(8,1)",-4.82407813956,-4.85926251164,-4.85926251164,-4.82407813956
"(8,1)",-4.78009767444,-4.78009767444,-4.82407813956,-4.82407813956
"(8,1)",-4.82407813956,-203.656402616,-4.78009767444,-201.44
"(8,1)",-200.0,-4.1611392,-4.72512209306,-4.463129088
"(8,1)",-4.5705032704,-4.5705032704,-200.8,-4.5705032704
"(8,1)",-4.463129088,-4.463129088,-4.463129088,-4.463129088
"(8,1)",-4.463129088,-4.463129088,-4.5705032704,-200.0
"(8,1)",-4.463129088,-3.3616,-3.951424,-3.68928
"(8,1)",-4.5705032704,-4.463129088,-202.68928,-4.463129088
"(9,0)",-200.8,-200.0,-200.0,-4.97638816759
"(9,1)",-4.97048520948,-4.97048520948,-203.725122093,-4.97048520948
"(9,2)",-203.32891136,-4.97048520948,-4.97638816759,-200.0
"(9,3)",-4.90992800745,-203.859262512,-4.92794240596,-4.92794240596
"(9,4)",-4.95388313982,-4.95388313982,-203.725122093,-203.927942406
"(9,5)",-4.94235392477,-203.927942406,-4.95388313982,-4.92794240596
"(9,6)",-4.94235392477,-4.94235392477,-203.909928007,-4.94235392477
"(9,7)",-4.95388313982,-4.95388313982,-4.94235392477,-203.656402616
"(9,8)",-200.0,-203.725122093,-4.92794240596,-4.78009767444
"(9,9)",-4.88741000932,-4.88741000932,-202.3616,-4.85926251164
"(9,1)",-4.85926251164,-4.85926251164,-4.88741000932,-4.85926251164
"(9,1)",-4.82407813956,-4.82407813956,-4.82407813956,-4.82407813956
"(9,1)",-4.82407813956,-4.78009767444,-4.78009767444,-200.8
"(9,1)",-4.82407813956,-200.0,-4.72512209306,-4.65640261632
"(9,1)",-200.0,-4.65640261632,-200.8,-4.5705032704
"(9,1)",-4.5705032704,-4.5705032704,-4.65640261632,-4.463129088
"(9,1)",-4.5705032704,-4.32891136,-4.32891136,-4.463129088
"(9,1)",-4.463129088,-4.32891136,-4.32891136,-4.32891136
"(9,1)",-202.3616,-4.463129088,-4.32891136,-4.463129088
"(9,1)",-4.5705032704,-4.463129088,-4.463129088,-4.463129088
